69 71 73 75 77 79 80 82 83 85 86 87 88 89 90 91 91 92 92 92 92 91 91 90 89 87 85 83 81 78 76 73 70 67 64 61 58 55 52 49
71 73 75 77 78 80 82 83 85 86 87 88 89 90 91 92 92 93 93 93 93 92 92 91 90 88 86 84 82 79 77 74 71 68 65 62 59 56 53 50
72 74 76 78 80 81 83 84 86 87 88 89 90 91 92 92 93 94 94 94 94 93 93 92 91 89 87 85 83 80 78 75 72 69 66 63 60 57 54 51
73 75 77 79 81 82 84 85 87 88 89 90 91 92 92 93 94 95 95 95 95 94 94 93 92 90 88 86 84 81 79 76 73 70 67 64 61 58 55 52
74 76 78 80 82 83 85 86 87 88 90 91 92 92 93 94 95 96 96 96 96 95 95 94 93 91 89 87 85 82 80 77 74 71 68 65 62 59 56 53
74 76 78 80 82 84 85 86 88 89 90 91 92 93 94 95 96 96 97 97 96 96 95 94 93 92 90 88 86 83 81 78 75 72 69 66 63 60 57 54
74 76 78 80 82 84 85 87 88 89 91 92 93 94 95 96 97 97 97 97 97 97 96 95 94 92 90 88 86 84 82 79 76 73 70 67 64 61 58 55
73 75 78 80 82 84 85 87 88 90 91 92 93 94 95 96 97 98 98 98 98 98 97 96 95 93 91 89 86 84 82 79 76 74 71 68 65 62 59 56
72 75 77 79 81 83 85 87 88 90 91 92 93 94 95 96 97 98 98 99 99 98 98 97 95 93 91 89 87 85 82 80 77 75 72 69 66 63 60 57
71 73 76 78 80 82 84 86 87 89 90 92 93 94 95 96 97 98 99 99 99 99 98 97 95 94 92 90 88 85 83 80 78 75 73 70 67 64 61 58
69 72 75 77 79 81 83 85 86 88 90 91 92 94 95 96 97 98 99 99 99 99 98 97 96 94 92 90 88 86 83 81 78 76 73 70 68 65 62 59
67 70 73 75 77 79 82 84 85 87 89 90 92 93 94 95 96 97 98 98 98 98 97 96 95 93 91 89 87 85 82 80 78 75 72 70 67 64 62 59
65 68 70 73 75 78 80 82 84 86 88 89 91 92 93 94 95 96 97 97 97 96 96 95 94 92 90 88 86 84 81 79 77 74 72 69 67 64 62 59
63 66 69 72 74 76 79 81 83 85 87 89 90 91 93 94 95 96 96 96 96 95 95 94 93 91 89 87 85 83 80 78 76 74 71 69 66 64 62 59
60 63 66 69 71 74 77 80 82 84 86 88 89 90 92 93 94 95 95 95 95 94 94 93 92 90 88 86 84 82 79 77 75 72 70 68 65 63 61 58
58 61 64 67 70 73 76 79 81 83 85 87 88 90 91 92 93 94 94 94 94 93 93 92 91 89 87 85 83 81 78 76 74 71 69 67 65 63 61 58
56 59 62 65 68 71 74 77 79 81 83 85 87 88 89 91 92 93 93 93 93 92 92 91 90 88 86 84 82 80 78 76 73 71 69 66 64 62 60 57
53 56 59 62 66 69 72 75 77 79 82 84 86 87 88 90 91 92 92 92 92 91 91 90 89 87 85 83 81 79 77 74 72 70 68 66 63 61 59 57
51 54 57 61 64 67 70 73 75 78 80 82 84 85 87 88 89 90 91 91 91 91 90 89 88 86 84 82 80 78 76 74 71 69 67 65 63 61 59 57
48 52 55 58 61 65 68 70 73 76 78 80 82 84 85 87 88 89 89 90 90 89 89 88 87 85 83 81 79 77 75 73 71 69 67 65 63 61 59 57
46 49 53 56 60 63 66 69 71 74 77 79 81 83 84 86 87 88 88 88 88 88 87 86 85 83 82 80 78 76 74 72 70 68 66 64 62 60 58 56
44 47 50 54 57 61 64 67 70 73 76 78 80 82 83 85 86 87 87 87 87 87 86 85 84 82 81 79 77 75 73 71 69 67 65 63 61 59 57 55
